Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
Cam Whitmore,20,HOU,SF,26,0,427,100,226,0.442,33,102,0.324,67,124,0.54,0.515,28,38,0.737,21,61,82,21,15,7,23,23,261,0,,whitmca01
Javonte Green,31,NOP,SG,42,15,922,91,196,0.464,34,89,0.382,57,107,0.533,0.551,43,57,0.754,46,103,149,35,43,29,27,63,259,0,,greenja02
Sam Merrill,28,CLE,SG,39,2,715,85,228,0.373,66,197,0.335,19,31,0.613,0.518,22,23,0.957,18,56,74,63,21,7,17,69,258,0,,merrisa01
Kel'el Ware,20,MIA,C,30,4,504,105,186,0.565,23,54,0.426,82,132,0.621,0.626,24,33,0.727,31,114,145,15,18,31,22,38,257,0,,wareke01
Kris Dunn,30,LAC,PG,42,29,950,104,246,0.423,39,128,0.305,65,118,0.551,0.502,6,12,0.5,28,108,136,113,63,14,48,104,253,0,,dunnkr01
Tyrese Martin,25,BRK,SG,31,6,661,93,233,0.399,49,139,0.353,44,94,0.468,0.504,17,26,0.654,34,87,121,55,13,5,39,33,252,0,,martity01
Davion Mitchell,26,TOR,PG,41,21,1012,95,228,0.417,36,109,0.33,59,119,0.496,0.496,24,36,0.667,15,64,79,187,30,8,69,109,250,0,,mitchda01
Malcolm Brogdon,32,WAS,PG,18,13,447,86,194,0.443,15,48,0.313,71,146,0.486,0.482,62,70,0.886,17,56,73,71,10,5,31,26,249,0,,brogdma01
Khris Middleton,33,MIL,SF,20,7,470,93,190,0.489,28,76,0.368,65,114,0.57,0.563,35,42,0.833,5,73,78,95,16,3,32,46,249,0,,middlkh01
Trey Lyles,29,SAC,PF,36,2,724,83,207,0.401,49,142,0.345,34,65,0.523,0.519,31,42,0.738,39,133,172,33,21,17,23,45,246,0,,lylestr01
Nick Richards,27,2TM,C,26,13,567,86,149,0.577,0,2,0,86,147,0.585,0.577,74,105,0.705,68,146,214,31,8,30,43,65,246,0,,richani01
Bogdan Bogdanović,32,ATL,SG,24,0,598,83,224,0.371,44,146,0.301,39,78,0.5,0.469,30,34,0.882,12,54,66,49,20,6,37,57,240,0,,bogdabo01
Talen Horton-Tucker,24,CHI,SG,39,0,459,84,184,0.457,31,81,0.383,53,103,0.515,0.541,35,48,0.729,14,54,68,53,15,8,26,40,234,0,,hortota01
Johnny Juzang,23,UTA,SG,32,5,571,79,189,0.418,54,135,0.4,25,54,0.463,0.561,22,25,0.88,19,69,88,33,12,5,16,62,234,0,,juzanjo01
Isaiah Stewart,23,DET,C,42,3,865,96,184,0.522,8,33,0.242,88,151,0.583,0.543,33,39,0.846,86,164,250,73,18,56,39,108,233,0,,stewais01
Jeremiah Robinson-Earl,24,NOP,PF,39,6,715,87,195,0.446,27,90,0.3,60,105,0.571,0.515,25,29,0.862,70,119,189,51,28,6,28,51,226,0,,robinje02
Ricky Council IV,23,PHI,SF,36,3,515,74,184,0.402,21,78,0.269,53,106,0.5,0.459,56,67,0.836,24,60,84,34,12,6,20,30,225,0,,councri01
Matas Buzelis,20,CHI,SF,45,0,579,80,207,0.386,34,100,0.34,46,107,0.43,0.469,30,37,0.811,29,92,121,20,11,35,26,60,224,0,,buzelma01
Jamal Shead,22,TOR,PG,42,0,693,86,211,0.408,33,94,0.351,53,117,0.453,0.486,18,25,0.72,10,36,46,142,24,6,62,74,223,0,,sheadja01
Eric Gordon,36,PHI,SG,33,10,641,72,171,0.421,46,116,0.397,26,55,0.473,0.556,32,43,0.744,6,30,36,51,21,10,23,28,222,0,,gordoer01
Jose Alvarado,26,NOP,PG,24,7,528,74,189,0.392,51,125,0.408,23,64,0.359,0.526,22,28,0.786,12,36,48,98,32,7,27,47,221,0,,alvarjo01
Vasilije Micić,31,CHO,PG,32,12,662,79,232,0.341,36,108,0.333,43,124,0.347,0.418,27,33,0.818,17,55,72,110,14,0,66,38,221,0,,micicva01
Ajay Mitchell,22,OKC,SG,34,1,561,84,166,0.506,22,51,0.431,62,115,0.539,0.572,28,33,0.848,17,50,67,57,24,3,28,59,218,0,,mitchaj01
Justin Champagnie,23,WAS,SF,27,13,539,84,167,0.503,31,80,0.388,53,87,0.609,0.596,16,25,0.64,43,88,131,28,28,15,22,53,215,0,,champju01
Jusuf Nurkić,30,PHO,C,25,23,592,74,163,0.454,19,59,0.322,55,104,0.529,0.512,48,69,0.696,46,183,229,47,23,16,57,78,215,0,,nurkiju01
Shake Milton,28,2TM,SG,35,1,565,77,173,0.445,30,82,0.366,47,91,0.516,0.532,30,39,0.769,18,45,63,73,15,2,24,49,214,0,,miltosh01
Jared Butler,24,WAS,PG,31,0,345,83,170,0.488,15,40,0.375,68,130,0.523,0.532,31,40,0.775,14,27,41,79,12,5,27,37,212,0,,butleja02
Marcus Sasser,24,DET,PG,35,0,488,80,171,0.468,33,89,0.371,47,82,0.573,0.564,18,20,0.9,12,30,42,74,22,4,29,44,211,0,,sassema01
Dean Wade,28,CLE,PF,35,26,799,73,179,0.408,52,149,0.349,21,30,0.7,0.553,13,25,0.52,35,143,178,55,30,16,11,68,211,0,,wadede01
Luke Kornet,29,BOS,C,41,6,699,84,132,0.636,0,0,,84,132,0.636,0.636,42,56,0.75,94,119,213,61,21,41,19,56,210,0,,kornelu01
Terance Mann,28,LAC,SG,33,12,660,82,180,0.456,24,68,0.353,58,112,0.518,0.522,21,30,0.7,27,69,96,56,27,10,22,63,209,0,,mannte01
Lindy Waters III,27,GSW,SG,37,9,649,76,202,0.376,49,146,0.336,27,56,0.482,0.498,8,11,0.727,16,80,96,42,21,10,17,55,209,0,,waterli01
Kyle Filipowski,21,UTA,C,34,8,628,78,162,0.481,21,70,0.3,57,92,0.62,0.546,30,49,0.612,36,130,166,60,20,4,32,65,207,0,,filipky01
